algo,N,M,count,E_mean,E_err,ProbSolv,ProbSolv_err
FMScol_eta=0.25_nsteps=625N^2,16,79,400,2.2275,0.03471125975652154,0.005,0.003531100632833622
FMScol_eta=0.25_nsteps=625N^2,16,82,400,2.6525,0.03684771036846789,0.0,0.0
FMScol_eta=0.25_nsteps=625N^2,16,86,400,3.3775,0.0377962400829901,0.0,0.0
FMScol_eta=0.25_nsteps=625N^2,16,89,400,3.965,0.03691672536302241,0.0,0.0
FMScol_eta=0.25_nsteps=625N^2,16,92,400,4.6125,0.0361819320312471,0.0,0.0
FMScol_eta=0.25_nsteps=625N^2,16,95,400,5.355,0.0365825533283292,0.0,0.0
FMScol_eta=0.25_nsteps=625N^2,16,98,400,6.11,0.03903279258832383,0.0,0.0
FMScol_eta=0.25_nsteps=625N^2,16,102,400,7.3475,0.03528415798217776,0.0,0.0
FMScol_eta=0.25_nsteps=625N^2,16,105,400,8.215,0.036231468342390064,0.0,0.0
FMScol_eta=0.25_nsteps=625N^2,16,108,400,9.335,0.03514292336526148,0.0,0.0
FMScol_eta=0.25_nsteps=625N^2,32,158,400,0.1825,0.019658344316171004,0.82,0.019233429544157618
FMScol_eta=0.25_nsteps=625N^2,32,165,400,0.5375,0.027126074814412288,0.485,0.02502004209160456
FMScol_eta=0.25_nsteps=625N^2,32,171,400,0.915,0.030770188677975242,0.235,0.021226490755055016
FMScol_eta=0.25_nsteps=625N^2,32,178,400,1.3975,0.03555833746687999,0.0825,0.013773476199440044
FMScol_eta=0.25_nsteps=625N^2,32,184,400,1.9475,0.037118780754650055,0.01,0.004981167541368988
FMScol_eta=0.25_nsteps=625N^2,32,190,400,2.555,0.03900308451268642,0.0025,0.0025
FMScol_eta=0.25_nsteps=625N^2,32,197,400,3.27,0.04341615374506403,0.0,0.0
FMScol_eta=0.25_nsteps=625N^2,32,203,400,3.9325,0.0456900243029264,0.0,0.0
FMScol_eta=0.25_nsteps=625N^2,32,210,400,4.75,0.04635863249727653,0.0,0.0
FMScol_eta=0.25_nsteps=625N^2,32,216,400,5.4775,0.04800516236859415,0.0,0.0
FMScol_eta=0.25_nsteps=625N^2,64,317,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,64,330,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,64,342,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,64,355,400,0.0075,0.0043192609365022136,0.9925,0.0043192609365022136
FMScol_eta=0.25_nsteps=625N^2,64,368,400,0.1775,0.019453288954000027,0.825,0.019022147756317057
FMScol_eta=0.25_nsteps=625N^2,64,381,400,0.695,0.030119852486100607,0.38,0.024299715851758236
FMScol_eta=0.25_nsteps=625N^2,64,394,400,1.3975,0.03280892315508833,0.055,0.011413288653790234
FMScol_eta=0.25_nsteps=625N^2,64,406,400,2.075,0.03710632963859563,0.015,0.00608523419335443
FMScol_eta=0.25_nsteps=625N^2,64,419,400,3.0575,0.04171131692837987,0.0025,0.0025
FMScol_eta=0.25_nsteps=625N^2,64,432,400,4.04,0.04077568689309856,0.0,0.0
FMScol_eta=0.25_nsteps=625N^2,128,634,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,128,659,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,128,685,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,128,710,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,128,736,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,128,762,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,128,787,400,0.025,0.007816023641463079,0.975,0.007816023641463079
FMScol_eta=0.25_nsteps=625N^2,128,813,400,0.665,0.028221066093054876,0.3825,0.024330316186072995
FMScol_eta=0.25_nsteps=625N^2,128,838,400,1.7175,0.032548161731197664,0.02,0.007008766440504623
FMScol_eta=0.25_nsteps=625N^2,128,864,400,3.1025,0.0386810669106135,0.0,0.0
FMScol_eta=0.25_nsteps=625N^2,256,1267,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,256,1318,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,256,1370,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,256,1421,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,256,1472,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,256,1523,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,256,1574,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,256,1626,400,0.0025,0.0025,0.9975,0.0025
FMScol_eta=0.25_nsteps=625N^2,256,1677,400,0.8825,0.02913514229055226,0.2325,0.02114775268460038
FMScol_eta=0.25_nsteps=625N^2,256,1728,400,2.7225,0.03714409218112485,0.0,0.0
FMScol_eta=0.25_nsteps=625N^2,512,2534,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,512,2637,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,512,2739,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,512,2842,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,512,2944,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,512,3046,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,512,3149,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,512,3251,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,512,3354,400,0.3425,0.024019298318837777,0.66,0.02371510099151159
FMScol_eta=0.25_nsteps=625N^2,512,3456,400,3.175,0.042164940478005945,0.0,0.0
FMScol_eta=0.25_nsteps=625N^2,1024,5069,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,1024,5274,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,1024,5478,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,1024,5683,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,1024,5888,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,1024,6093,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,1024,6298,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,1024,6502,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,1024,6707,400,0.1075,0.015905717671220985,0.895,0.015346866644024562
FMScol_eta=0.25_nsteps=625N^2,1024,6912,400,4.8925,0.05710088135597448,0.0,0.0
FMScol_eta=0.25_nsteps=625N^2,2048,10138,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,2048,10547,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,2048,10957,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,2048,11366,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,2048,11776,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,2048,12186,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,2048,12595,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,2048,13005,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,2048,13414,400,0.01,0.004981167541368988,0.99,0.004981167541368988
FMScol_eta=0.25_nsteps=625N^2,2048,13824,400,8.9375,0.09903790001356927,0.0,0.0
FMScol_eta=0.25_nsteps=625N^2,4096,20275,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,4096,21094,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,4096,21914,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,4096,22733,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,4096,23552,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,4096,24371,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,4096,25190,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,4096,26010,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,4096,26829,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,4096,27648,400,21.2675,0.17066098647835248,0.0,0.0
FMScol_eta=0.25_nsteps=625N^2,8192,40550,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,8192,42189,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,8192,43827,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,8192,45466,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,8192,47104,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,8192,48742,400,0.0,0.0,1.0,0.0
FMScol_eta=0.25_nsteps=625N^2,8192,50381,400,0.0,0.0,1.0,0.0
